,time step,V no,Name,Number,Diameter(µm),Length(µm),Saturation in,Saturation out,Sav,Resistance for Q,Q in single(µm3/s),Vt(µm3),partial pressure blood(mmHg),X-Area wall(???),wall thickness(µm),tissue partials(mmHg),pt_by_Vt,M,0,1,2,3,4,dptdt,dSoutdt,dSindt
15228,1171,5,A6,32,7.32,154.7,0.765,0.6627777777777778,0.7143333333333334,2.0257276147463348e-05,83274.85656022982,1304955.478573564,37.535281760495636,103.11079053651886,3.1382927268542957,20.402780510642085,26624817.22244942,0.0007458003464656384,0.000307204546285129,-674.7587661380434,17.132426904824396,8438.518798103283,0.0,-0.02787938593088209,-0.3333333333333333,0.0
15579,1198,5,A6,32,7.32,154.7,0.765,0.6623333333333333,0.7138888888888889,2.0257276147463348e-05,81176.09798212365,1304955.478573564,37.50618677211713,103.11079053651886,3.1382927268542957,20.38289004267655,26599022.36505294,0.0007456463177391242,0.000307204546285129,-674.7587661380434,17.123098765062586,8298.001127061529,0.0,-0.07423664174868308,-0.16666666666666666,0.0
15657,1204,5,A6,32,7.32,154.7,0.765,0.6601111111111111,0.7130000000000001,2.0257276147463348e-05,80709.5607202038,1304955.478573564,37.44813701533921,103.11079053651886,3.1382927268542957,20.378108115165798,26592962.75274441,0.0007456112549824116,0.000307204546285129,-674.7587661380434,17.069692547783156,8393.794314901194,0.0,-0.12613214634892528,-0.3333333333333333,0.0
15982,1229,5,A6,32,7.32,154.7,0.765,0.6578888888888889,0.7118888888888889,2.0257276147463348e-05,78765.07930089478,1304955.478573564,37.37583591910129,103.11079053651886,3.1382927268542957,20.34280692411558,26547087.29007457,0.0007454132956799019,0.000307204546285129,-674.7587661380434,17.03254626212926,8366.601756850601,0.0,-0.18102482117065602,-0.3333333333333333,0.0
16124,1240,4,A5,16,9.46,161.2,0.84,0.7627777777777778,0.8018333333333334,7.874815891778237e-06,155214.7463688792,1919460.3552955475,44.481324245356866,130.57293475327975,3.265971235566071,24.718336888633647,47446061.23165476,0.0007573764451293281,0.00017651954690785603,-873.1410554199905,19.762886534071452,11848.05897282443,0.0,-0.03780849441004037,-0.3333333333333333,0.0
16138,1241,5,A6,32,7.32,154.7,0.7627777777777778,0.6561111111111111,0.7096666666666667,2.0257276147463348e-05,77831.39746018383,1304955.478573564,37.232093758317006,103.11079053651886,3.1382927268542957,20.31788102941981,26515326.664822686,0.0007452936321253657,0.000307204546285129,-674.7587661380434,16.913142575548402,8267.423996881751,0.0,-0.4013075057965112,-0.16666666666666666,0.0
16333,1256,5,A6,32,7.32,154.7,0.7627777777777778,0.6556666666666666,0.7094444444444444,2.0257276147463348e-05,76663.99319748153,1304955.478573564,37.21778198300281,103.11079053651886,3.1382927268542957,20.271093893499167,26454095.174262237,0.0007450894062510599,0.000307204546285129,-674.7587661380434,16.9457530834583,8177.492607731365,0.0,-0.3506272670056461,-0.16666666666666666,0.0
16398,1261,5,A6,32,7.32,154.7,0.7627777777777778,0.6534444444444444,0.7085555555555556,2.0257276147463348e-05,76274.78391818858,1304955.478573564,37.16064735280324,103.11079053651886,3.1382927268542957,20.256454466989105,26435106.71921769,0.0007450247928371341,0.000307204546285129,-674.7587661380434,16.903169489946425,8271.576567128006,0.0,-0.3837734503905665,-0.3333333333333333,0.0
16566,1274,4,A5,16,9.46,161.2,0.84,0.7623333333333333,0.8013888888888889,7.874815891778237e-06,149942.15938223372,1919460.3552955475,44.43786341922422,130.57293475327975,3.265971235566071,24.6856815298297,47383672.66629042,0.0007571873795530474,0.00017651954690785603,-873.1410554199905,19.751928887904068,11578.866752294709,0.0,-0.09487555891952784,-0.16666666666666666,0.0
16632,1279,5,A6,32,7.32,154.7,0.7623333333333333,0.6512222222222221,0.7072222222222222,2.0257276147463348e-05,74873.32245203809,1304955.478573564,37.07528052399358,103.11079053651886,3.1382927268542957,20.196455671629977,26356925.626302514,0.0007447666840912225,0.000307204546285129,-674.7587661380434,16.877713588520002,8252.703985824644,0.0,-0.41672394135040375,-0.3333333333333333,0.0
