,folder name,com vessels,com network,time,alpha,delay,pressure_drop,tau_c,kp_constant,pt_50,pt_5,kn_constant,c_50,c_5,Number of iterations,delay pressure drop,time for pressure drop,R,k
0,450s lap,True,True,450,0.5,2.99,0.3,0.0016666666666666668,0.0033333333333333335,Not printed,Not printed,0.0016666666666666668,Not printed,Not printed,180001,15,15,1,0.1
1,crash_01,True,True,450,0.5,2.99,0.3,0.0016666666666666668,0.0033333333333333335,Not printed,Not printed,0.0016666666666666668,Not printed,Not printed,180001,15,15,1,0.1
2,024,True,True,600,0.5,2.5,0.3,Not printed,1/300,Not printed,Not printed,1/600,Not printed,Not printed,225001,15,15,1,0.1
3,023,False,True,2400,0.5,2.5,0.3,Not printed,1/300,Not printed,Not printed,1/600,Not printed,Not printed,900001,15,15,1,0.1
4,015,True,True,600,0.3,2.5,0.3,Not printed,1/150,Not printed,Not printed,1/600,Not printed,Not printed,225001,15,15,1,0.1
5,012,True,True,600,0.3,2.5,0.3,Not printed,1/300,Not printed,Not printed,1/300,Not printed,Not printed,225001,15,15,1,0.1
6,041,True,True,600,0.4,0.5,0.3,Not printed,1/300,Not printed,Not printed,1/600,Not printed,Not printed,225001,15,15,1,0.1
7,013,True,True,600,0.3,2.5,0.3,Not printed,1/600,Not printed,Not printed,1/600,Not printed,Not printed,225001,15,15,1,0.1
8,014,True,True,600,0.3,2.5,0.3,Not printed,1/300,Not printed,Not printed,1/600,Not printed,Not printed,225001,15,15,0.5,0.1
9,022,True,True,1200,0.5,2.5,0.3,Not printed,1/300,Not printed,Not printed,1/600,Not printed,Not printed,450001,15,15,1,0.1
10,025,True,True,600,0.45,2.5,0.3,Not printed,1/300,Not printed,Not printed,1/600,Not printed,Not printed,225001,15,15,1,0.1
11,040,True,True,600,0.4,0.4,0.3,Not printed,1/300,Not printed,Not printed,1/600,Not printed,Not printed,225001,15,15,1,0.1
12,038,True,True,600,0.4,2.5,0.3,Not printed,1/300,Not printed,Not printed,1/600,Not printed,Not printed,225001,15,15,1,0.1
13,007,True,True,600,0.4,2.5,0.5,0.0016666666666666668,0.0033333333333333335,Not printed,Not printed,0.006666666666666667,Not printed,Not printed,225001,15,15,1,0.1
14,009,True,True,600,0.5,2.99,0.3,Not printed,1/300,Not printed,Not printed,1/600,Not printed,Not printed,225001,15,15,1,0.1
15,036,True,True,600,0.4,1,0.3,Not printed,1/300,Not printed,Not printed,1/600,Not printed,Not printed,225001,15,15,1,0.1
16,031,True,True,600,0.34,2.5,0.3,Not printed,1/300,Not printed,Not printed,1/600,Not printed,Not printed,225001,15,15,1,0.1
17,030,True,True,600,0.32,2.5,0.3,Not printed,1/300,Not printed,Not printed,1/600,Not printed,Not printed,225001,15,15,1,0.1
18,008,True,True,0.5,0.4,2.5,0.3,Not printed,1/300,Not printed,Not printed,1/150,Not printed,Not printed,100,15,15,1,0.1
19,037,True,True,600,0.4,2,0.3,Not printed,1/300,Not printed,Not printed,1/600,Not printed,Not printed,225001,15,15,1,0.1
20,001,True,True,400,0.3,2.5,0.3,0.0016666666666666668,0.0033333333333333335,Not printed,Not printed,0.0016666666666666668,Not printed,Not printed,190001,15,15,1,0.1
21,039,True,True,600,0.4,3.5,0.3,Not printed,1/300,Not printed,Not printed,1/600,Not printed,Not printed,225001,15,15,1,0.1
22,006,True,True,600,0.4,2.5,0.3,0.0016666666666666668,0.0033333333333333335,Not printed,Not printed,0.006666666666666667,Not printed,Not printed,225001,15,15,1,0.1
23,600s no vess,False,True,600,0.3,2.99,0.3,0.0016666666666666668,0.0033333333333333335,Not printed,Not printed,0.006666666666666667,Not printed,Not printed,225001,15,15,1,0.1
24,042,True,True,600,0.34,2.5,0.3,Not printed,1/10000000000000000303786028427003666890752,Not printed,Not printed,1/600,Not printed,Not printed,225001,15,15,1,0.1
25,045,True,True,600,0.34,5,0.3,Not printed,1/300,Not printed,Not printed,1/600,Not printed,Not printed,225001,15,15,1,0.1
26,020,True,True,1200,0.3,2.5,0.3,Not printed,1/300,Not printed,Not printed,1/600,Not printed,Not printed,450001,15,15,1,0.1
27,normal values,True,True,600,0.5,2.99,0.3,0.0016666666666666668,0.0033333333333333335,Not printed,Not printed,0.0016666666666666668,Not printed,Not printed,225001,15,15,1,0.1
28,027,True,True,600,0.35,2.5,0.3,Not printed,1/300,Not printed,Not printed,1/600,Not printed,Not printed,225001,15,15,1,0.1
29,018,True,True,1200,0.3,2.5,0.3,Not printed,1/300,Not printed,Not printed,1/600,Not printed,Not printed,450001,15,15,2,0.1
30,011,True,True,600,0.3,2.5,0.3,Not printed,1/300,Not printed,Not printed,1/600,Not printed,Not printed,225001,15,15,2,0.1
31,016,True,True,600,0.3,2.5,0.3,Not printed,1/300,Not printed,Not printed,1/600,Not printed,Not printed,225001,15,15,1,0.1
32,029,True,True,600,0.55,2.5,0.3,Not printed,1/300,Not printed,Not printed,1/600,Not printed,Not printed,225001,15,15,1,0.1
33,044,True,True,600,0.34,4,0.3,Not printed,1/300,Not printed,Not printed,1/600,Not printed,Not printed,225001,15,15,1,0.1
34,043,True,True,600,0.34,2.5,0.3,Not printed,1/300,Not printed,Not printed,1/10000000000000000303786028427003666890752,Not printed,Not printed,225001,15,15,1,0.1
35,017,True,True,600,0.3,2.5,0.3,Not printed,1/300,Not printed,Not printed,1/1200,Not printed,Not printed,225001,15,15,1,0.1
36,028,True,True,600,0.3,2.5,0.3,Not printed,1/300,Not printed,Not printed,1/600,Not printed,Not printed,225001,15,15,1,0.1
37,010,True,True,600,0.3,2.5,0.3,Not printed,1/300,Not printed,Not printed,1/600,Not printed,Not printed,225001,15,15,1,0.1
38,026,True,True,600,0.4,2.5,0.3,Not printed,1/300,Not printed,Not printed,1/600,Not printed,Not printed,225001,15,15,1,0.1
39,019,True,True,1200,0.3,2.5,0.3,Not printed,1/300,Not printed,Not printed,1/600,Not printed,Not printed,450001,15,15,1,0.1
40,021,True,True,600,0.5,2.5,0.3,Not printed,1/300,Not printed,Not printed,1/600,Not printed,Not printed,225001,15,15,1,0.1
41,003,True,True,400,0.3,2.5,0.5,0.0016666666666666668,0.0033333333333333335,Not printed,Not printed,0.0016666666666666668,Not printed,Not printed,190001,15,15,1,0.1
42,004,True,True,600,0.4,2.5,0.3,0.0016666666666666668,0.0033333333333333335,Not printed,Not printed,0.006666666666666667,Not printed,Not printed,225001,15,15,1,0.1
43,032,True,True,600,0.36,2.5,0.3,Not printed,1/300,Not printed,Not printed,1/600,Not printed,Not printed,225001,15,15,1,0.1
44,035,True,True,600,0.4,0,0.3,Not printed,1/300,Not printed,Not printed,1/600,Not printed,Not printed,225001,15,15,1,0.1
45,034,True,True,600,0.4,2.5,0.3,Not printed,1/300,Not printed,Not printed,1/600,Not printed,Not printed,225001,15,15,1,0.1
46,033,True,True,600,0.38,2.5,0.3,Not printed,1/300,Not printed,Not printed,1/600,Not printed,Not printed,225001,15,15,1,0.1
47,005,True,True,600,0.4,2.5,0.3,0.0016666666666666668,0.0033333333333333335,Not printed,Not printed,0.006666666666666667,Not printed,Not printed,225001,15,15,1,0.1
48,002,True,True,400,0.3,2.5,0.3,0.0016666666666666668,0.0033333333333333335,Not printed,Not printed,0.0016666666666666668,Not printed,Not printed,190001,15,15,1,0.1
49,300s_kn_1_150,True,True,300,0.3,1.5,0.3,0.0016666666666666668,0.0033333333333333335,Not printed,Not printed,0.006666666666666667,Not printed,Not printed,130001,15,15,1,0.1
50,400s_kn_1_600,True,True,400,0.3,2.5,0.3,0.0016666666666666668,0.0033333333333333335,Not printed,Not printed,0.0016666666666666668,Not printed,Not printed,190001,15,15,1,0.1
