folder name,com vessels,com network,time,alpha,delay,pressure_drop,tau_c_f,tau_c_s,kp_constant_f,kp_constant_s,pt_50,pt_5,kn_constant_f,c_50,c_5,Number of iterations,delay pressure drop,time for pressure drop,R,k,final Q,final c
035,True,True,600.0,0.4,0.0,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,225001,15.0,15.0,1.0,0.1,0.00035075108255604447,9.96503973243134
040,True,True,600.0,0.4,0.4,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,225001,15.0,15.0,1.0,0.1,0.00035075108255604447,9.96503973243134
041,True,True,600.0,0.4,0.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,225001,15.0,15.0,1.0,0.1,0.00035075108255604447,9.96503973243134
036,True,True,600.0,0.4,1.0,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,225001,15.0,15.0,1.0,0.1,0.00035075108255604447,9.96503973243134
300s_kn_1_150,True,True,300.0,0.3,1.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/150,1.0,0.1,0.006666666666666667,1.1,0.06,130001,15.0,15.0,1.0,0.1,0.6873734056047954,1.2700455303321398
037,True,True,600.0,0.4,2.0,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,225001,15.0,15.0,1.0,0.1,0.00035075108255604447,9.96503973243134
043,True,True,600.0,0.34,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/10000000000000000303786028427003666890752,1.0,0.1,1e-40,1.1,0.06,225001,15.0,15.0,1.0,0.1,0.000220705948285044,9.977973121464519
017,True,True,600.0,0.3,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/1200,1.0,0.1,0.0008333333333333334,1.1,0.06,225001,15.0,15.0,1.0,0.1,0.0004562876858250282,9.954568424884936
007,True,True,600.0,0.4,2.5,0.5,0.0016666666666666668,1/600,0.0033333333333333327,1/150,0.5,0.1,0.006666666666666667,10.0,1.0,225001,15.0,15.0,1.0,0.1,0.6933502306874381,1.2604773544931949
006,True,True,600.0,0.4,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/150,0.5,0.1,0.006666666666666667,10.0,1.0,225001,15.0,15.0,1.0,0.1,0.6933502306874381,1.2604773544931949
