,Name,Number,Diameter(µm),Length(µm),Viscocity(mPAs),Pressure Drop(mmHg),Saturation,dS,Resistance for U,Resistance for Q,U in single(m/s????),Q in single(m^3/s????),Vt,partial pressure blood(mmHg),X-Area wall(mm^2?),wall thickness(µm),tissue partials(mmHg)
0,A1,1,23.97,1267.6,1.59,6.93,0.94,0.01,112.2517874084366,0.24875242066702782,0.06173621070980965,27.859025377189315,78005.27105613009,70.87137288397673,438.2136718162137,4.841406895115785,68.49755909735603
1,A2,2,19.17,930.3,1.5,5.87,0.93,0.01,121.51224159423587,0.42100371240381396,0.04830788999516286,13.942869925027347,39040.035790076574,67.00533954284408,313.0164293498271,4.253657774509781,65.22694139633039
2,A3,4,15.28,543.6,1.42,4.02,0.92,0.02,105.79644198349826,0.5769450776845713,0.0379974971240245,6.967734287868946,39019.312012066104,63.7867242550933,228.5462913897538,3.810683123726725,60.36786659640969
3,A4,8,12.08,302.3,1.34,2.7,0.89,0.04,88.82987588263674,0.7750599667208223,0.030395179247658496,3.4836014191564404,39016.33589455214,56.55034754037738,170.46352110053658,3.485850303253774,49.437368802876335
4,A5,16,9.46,161.2,1.28,1.82,0.84,0.0625,73.78069003124314,1.049712958374039,0.02466770098286291,1.7338073093992314,30341.62791448655,48.70601394284011,130.57293475327975,3.265971235566071,36.295309376287776
5,A6,32,7.32,154.7,1.23,2.35,0.765,0.0875,113.6379109558362,2.7002949104568645,0.020679718416447262,0.8702753135961739,21321.74518310626,41.21143080422994,103.11079053651886,3.138292726854295,29.92605093795541
6,C,64,8.0,243.9,1.24,2.62,0.665,0.0775,302.436,6.0167730461175575,0.00866298985570501,0.4354493646208921,9449.251212273359,34.55692017843066,111.33804364322226,3.172168430816443,31.62296669391658
7,V6,32,11.51,473.9,1.33,1.27,0.61,0.03375,152.24312179716048,1.4631779647364136,0.008341920377145649,0.8679737055969033,8202.351517890738,31.696835704138948,161.1976825952976,3.433625631725344,30.710713665213618
8,V5,16,14.53,272.3,1.4,0.61,0.5975,0.01125,57.782247044229166,0.34847635606123817,0.010556875704973505,1.75047744097968,5514.003939085992,31.097186495155107,214.00951386306312,3.7305249533617078,30.104241609155256
9,V4,8,17.79,426.6,1.48,0.89,0.5875,0.0075,63.83820229831452,0.256825931005751,0.013941495342256811,3.465382161819441,7277.302539820826,30.628583782906173,281.30906354664086,4.092089011783971,29.879172753108303
10,V3,4,21.45,632.5,1.55,1.31,0.5825,0.005,68.18480664634511,0.18868750370243056,0.0192124912342216,6.942696120809008,9719.774569132613,30.397755239411662,369.59706596128626,4.528590560913848,29.778124719528247
11,V2,2,25.7,844.2,1.62,1.78,0.5775,0.005,66.25888052809279,0.1277285452894827,0.026864323481066155,13.935804216401479,19510.125902962074,30.169135415857372,489.01528590954143,5.0603573387020955,29.30004659360596
12,V1,1,30.77,936.3,1.7,2.01,0.5725,0.005,53.79710811097126,0.07234592215391705,0.03736260313200897,27.78318307594026,38896.456306316366,29.942647810273762,655.2258445393543,5.716257995674097,28.468704717333516
